BisBasQ,BisBasResp,ExpEnd,ExpStart,StudyID,TimeEnd,TimeStart,Feedback,population,subject
bisbas-1,1,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-2,1,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-3,2,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-4,1,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-5,2,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-6,4,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-7,1,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-8,4,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-9,2,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-10,3,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-11,1,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-12,1,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-13,2,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-14,1,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-15,4,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-16,4,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-17,2,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-18,1,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-19,2,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-20,3,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-21,3,1.58E+12,1.58E+12,LWPCtufb:,1902433,1586997,fb,1,1
bisbas-22,1,1.58E+12,1.58E+12,LWPCtufb:,1902434,1586997,fb,1,1
bisbas-23,1,1.58E+12,1.58E+12,LWPCtufb:,1902434,1586997,fb,1,1
bisbas-24,3,1.58E+12,1.58E+12,LWPCtufb:,1902434,1586997,fb,1,1
bisbas-1,1,1.58E+12,1.58E+12,LWPCtufb:,4008866.19,3796602.83,fb,1,2
bisbas-2,4,1.58E+12,1.58E+12,LWPCtufb:,4008866.385,3796602.83,fb,1,2
bisbas-3,3,1.58E+12,1.58E+12,LWPCtufb:,4008866.405,3796602.83,fb,1,2
bisbas-4,2,1.58E+12,1.58E+12,LWPCtufb:,4008866.42,3796602.83,fb,1,2
bisbas-5,2,1.58E+12,1.58E+12,LWPCtufb:,4008866.455,3796602.83,fb,1,2
bisbas-6,2,1.58E+12,1.58E+12,LWPCtufb:,4008866.47,3796602.83,fb,1,2
bisbas-7,2,1.58E+12,1.58E+12,LWPCtufb:,4008866.49,3796602.83,fb,1,2
bisbas-8,1,1.58E+12,1.58E+12,LWPCtufb:,4008866.505,3796602.83,fb,1,2
bisbas-9,3,1.58E+12,1.58E+12,LWPCtufb:,4008866.52,3796602.83,fb,1,2
