data,Feedback,population,question,subject
demos:Demographics:;,fb,1,TypeResp,1
F,fb,1,Gender,1
23,fb,1,Age,1
NHL,fb,1,Ethnicity,1
W,fb,1,Race,1
demos:Demographics:;,fb,1,TypeResp,2
F,fb,1,Gender,2
52,fb,1,Age,2
NHL,fb,1,Ethnicity,2
A,fb,1,Race,2
demos:Demographics:;,fb,1,TypeResp,3
M,fb,1,Gender,3
29,fb,1,Age,3
NHL,fb,1,Ethnicity,3
W,fb,1,Race,3
demos:Demographics:;,fb,1,TypeResp,4
F,fb,1,Gender,4
51,fb,1,Age,4
NHL,fb,1,Ethnicity,4
W,fb,1,Race,4
demos:Demographics:;,fb,1,TypeResp,5
F,fb,1,Gender,5
24,fb,1,Age,5
NHL,fb,1,Ethnicity,5
W,fb,1,Race,5
demos:Demographics:;,fb,1,TypeResp,6
M,fb,1,Gender,6
27,fb,1,Age,6
NHL,fb,1,Ethnicity,6
W,fb,1,Race,6
demos:Demographics:;,fb,1,TypeResp,7
M,fb,1,Gender,7
32,fb,1,Age,7
NHL,fb,1,Ethnicity,7
W,fb,1,Race,7
demos:Demographics:;,fb,1,TypeResp,8
T,fb,1,Gender,8
34,fb,1,Age,8
NHL,fb,1,Ethnicity,8
W,fb,1,Race,8
demos:Demographics:;,fb,1,TypeResp,9
M,fb,1,Gender,9
45,fb,1,Age,9
NHL,fb,1,Ethnicity,9
W,fb,1,Race,9
demos:Demographics:;,fb,1,TypeResp,10
M,fb,1,Gender,10
28,fb,1,Age,10
NHL,fb,1,Ethnicity,10
W,fb,1,Race,10
demos:Demographics:;,fb,1,TypeResp,11
M,fb,1,Gender,11
40,fb,1,Age,11
HL,fb,1,Ethnicity,11
AA,fb,1,Race,11
demos:Demographics:;,fb,1,TypeResp,12
M,fb,1,Gender,12
30,fb,1,Age,12
NHL,fb,1,Ethnicity,12
W,fb,1,Race,12
demos:Demographics:;,fb,1,TypeResp,13
F,fb,1,Gender,13
27,fb,1,Age,13
NHL,fb,1,Ethnicity,13
A,fb,1,Race,13
demos:Demographics:;,fb,1,TypeResp,14
M,fb,1,Gender,14
49,fb,1,Age,14
NHL,fb,1,Ethnicity,14
W,fb,1,Race,14
demos:Demographics:;,fb,1,TypeResp,15
M,fb,1,Gender,15
30,fb,1,Age,15
HL,fb,1,Ethnicity,15
AA,fb,1,Race,15
demos:Demographics:;,fb,1,TypeResp,16
M,fb,1,Gender,16
55,fb,1,Age,16
NHL,fb,1,Ethnicity,16
A,fb,1,Race,16
demos:Demographics:;,fb,1,TypeResp,17
F,fb,1,Gender,17
58,fb,1,Age,17
NHL,fb,1,Ethnicity,17
W,fb,1,Race,17
demos:Demographics:;,fb,1,TypeResp,18
M,fb,1,Gender,18
26,fb,1,Age,18
NHL,fb,1,Ethnicity,18
W,fb,1,Race,18
demos:Demographics:;,fb,1,TypeResp,19
M,fb,1,Gender,19
36,fb,1,Age,19
NHL,fb,1,Ethnicity,19
W,fb,1,Race,19
demos:Demographics:;,fb,1,TypeResp,20
M,fb,1,Gender,20
29,fb,1,Age,20
NHL,fb,1,Ethnicity,20
W,fb,1,Race,20
demos:Demographics:;,fb,1,TypeResp,21
M,fb,1,Gender,21
28,fb,1,Age,21
NHL,fb,1,Ethnicity,21
W,fb,1,Race,21
demos:Demographics:;,fb,1,TypeResp,22
F,fb,1,Gender,22
31,fb,1,Age,22
NHL,fb,1,Ethnicity,22
W,fb,1,Race,22
demos:Demographics:;,fb,1,TypeResp,23
F,fb,1,Gender,23
68,fb,1,Age,23
NHL,fb,1,Ethnicity,23
W,fb,1,Race,23
demos:Demographics:;,fb,1,TypeResp,24
M,fb,1,Gender,24
33,fb,1,Age,24
NHL,fb,1,Ethnicity,24
W,fb,1,Race,24
demos:Demographics:;,fb,1,TypeResp,25
M,fb,1,Gender,25
42,fb,1,Age,25
NHL,fb,1,Ethnicity,25
AA,fb,1,Race,25
demos:Demographics:;,fb,1,TypeResp,26
M,fb,1,Gender,26
25,fb,1,Age,26
NHL,fb,1,Ethnicity,26
W,fb,1,Race,26
demos:Demographics:;,fb,1,TypeResp,27
F,fb,1,Gender,27
51,fb,1,Age,27
HL,fb,1,Ethnicity,27
W,fb,1,Race,27
demos:Demographics:;,fb,1,TypeResp,28
F,fb,1,Gender,28
49,fb,1,Age,28
NHL,fb,1,Ethnicity,28
A,fb,1,Race,28
demos:Demographics:;,fb,1,TypeResp,29
M,fb,1,Gender,29
33,fb,1,Age,29
NHL,fb,1,Ethnicity,29
W,fb,1,Race,29
demos:Demographics:;,fb,1,TypeResp,30
F,fb,1,Gender,30
36,fb,1,Age,30
NHL,fb,1,Ethnicity,30
A,fb,1,Race,30
demos:Demographics:;,fb,1,TypeResp,31
M,fb,1,Gender,31
33,fb,1,Age,31
NHL,fb,1,Ethnicity,31
W,fb,1,Race,31
demos:Demographics:;,fb,1,TypeResp,32
M,fb,1,Gender,32
258,fb,1,Age,32
HL,fb,1,Ethnicity,32
W,fb,1,Race,32
demos:Demographics:;,fb,1,TypeResp,33
M,fb,1,Gender,33
49,fb,1,Age,33
NHL,fb,1,Ethnicity,33
W,fb,1,Race,33
demos:Demographics:;,fb,1,TypeResp,34
F,fb,1,Gender,34
28,fb,1,Age,34
NHL,fb,1,Ethnicity,34
