data,Feedback,population,question,subject
posttest:Post-Test:;,fb,1,TypeResp,1
0,fb,1,BlockVaryQ,1
0,fb,1,ItemVaryQ,1
49,fb,1,FreqPredict_1,1
58,fb,1,FreqPredict_2,1
41,fb,1,FreqPredict_3,1
49,fb,1,FreqPredict_4,1
60,fb,1,FreqPredict_5,1
Hard,fb,1,SCForcedChoice_red,1
Hard,fb,1,SCForcedChoice_orange,1
Easy,fb,1,SCForcedChoice_yellow,1
Hard,fb,1,SCForcedChoice_green,1
Easy,fb,1,SCForcedChoice_blue,1
Hard,fb,1,SCForcedChoice_purple,1
posttest:Post-Test:;,fb,1,TypeResp,2
0,fb,1,BlockVaryQ,2
0,fb,1,ItemVaryQ,2
19,fb,1,FreqPredict_1,2
19,fb,1,FreqPredict_2,2
20,fb,1,FreqPredict_3,2
13,fb,1,FreqPredict_4,2
11,fb,1,FreqPredict_5,2
Easy,fb,1,SCForcedChoice_red,2
Hard,fb,1,SCForcedChoice_orange,2
Hard,fb,1,SCForcedChoice_yellow,2
Easy,fb,1,SCForcedChoice_green,2
Neutral,fb,1,SCForcedChoice_blue,2
Easy,fb,1,SCForcedChoice_purple,2
posttest:Post-Test:;,fb,1,TypeResp,3
0,fb,1,BlockVaryQ,3
0,fb,1,ItemVaryQ,3
80,fb,1,FreqPredict_1,3
27,fb,1,FreqPredict_2,3
0,fb,1,FreqPredict_3,3
0,fb,1,FreqPredict_4,3
28,fb,1,FreqPredict_5,3
Easy,fb,1,SCForcedChoice_red,3
Easy,fb,1,SCForcedChoice_orange,3
Easy,fb,1,SCForcedChoice_yellow,3
Neutral,fb,1,SCForcedChoice_green,3
Neutral,fb,1,SCForcedChoice_blue,3
Easy,fb,1,SCForcedChoice_purple,3
posttest:Post-Test:;,fb,1,TypeResp,4
0,fb,1,BlockVaryQ,4
0,fb,1,ItemVaryQ,4
50,fb,1,FreqPredict_1,4
50,fb,1,FreqPredict_2,4
50,fb,1,FreqPredict_3,4
50,fb,1,FreqPredict_4,4
50,fb,1,FreqPredict_5,4
Neutral,fb,1,SCForcedChoice_red,4
Easy,fb,1,SCForcedChoice_orange,4
Hard,fb,1,SCForcedChoice_yellow,4
Easy,fb,1,SCForcedChoice_green,4
Neutral,fb,1,SCForcedChoice_blue,4
Neutral,fb,1,SCForcedChoice_purple,4
posttest:Post-Test:;,fb,1,TypeResp,5
1,fb,1,BlockVaryQ,5
1,fb,1,ItemVaryQ,5
50,fb,1,FreqPredict_1,5
60,fb,1,FreqPredict_2,5
35,fb,1,FreqPredict_3,5
75,fb,1,FreqPredict_4,5
90,fb,1,FreqPredict_5,5
Easy,fb,1,SCForcedChoice_red,5
Hard,fb,1,SCForcedChoice_orange,5
Hard,fb,1,SCForcedChoice_yellow,5
Neutral,fb,1,SCForcedChoice_green,5
Neutral,fb,1,SCForcedChoice_blue,5
Easy,fb,1,SCForcedChoice_purple,5
posttest:Post-Test:;,fb,1,TypeResp,6
1,fb,1,BlockVaryQ,6
1,fb,1,ItemVaryQ,6
83,fb,1,FreqPredict_1,6
76,fb,1,FreqPredict_2,6
96,fb,1,FreqPredict_3,6
85,fb,1,FreqPredict_4,6
93,fb,1,FreqPredict_5,6
Easy,fb,1,SCForcedChoice_red,6
Neutral,fb,1,SCForcedChoice_orange,6
Easy,fb,1,SCForcedChoice_yellow,6
Easy,fb,1,SCForcedChoice_green,6
Easy,fb,1,SCForcedChoice_blue,6
Easy,fb,1,SCForcedChoice_purple,6
posttest:Post-Test:;,fb,1,TypeResp,7
1,fb,1,BlockVaryQ,7
1,fb,1,ItemVaryQ,7
0,fb,1,FreqPredict_1,7
100,fb,1,FreqPredict_2,7
0,fb,1,FreqPredict_3,7
25,fb,1,FreqPredict_4,7
0,fb,1,FreqPredict_5,7
Neutral,fb,1,SCForcedChoice_red,7
Hard,fb,1,SCForcedChoice_orange,7
Neutral,fb,1,SCForcedChoice_yellow,7
Hard,fb,1,SCForcedChoice_green,7
Easy,fb,1,SCForcedChoice_blue,7
Easy,fb,1,SCForcedChoice_purple,7
posttest:Post-Test:;,fb,1,TypeResp,8
0,fb,1,BlockVaryQ,8
0,fb,1,ItemVaryQ,8
60,fb,1,FreqPredict_1,8
45,fb,1,FreqPredict_2,8
69,fb,1,FreqPredict_3,8
56,fb,1,FreqPredict_4,8
34,fb,1,FreqPredict_5,8
Neutral,fb,1,SCForcedChoice_red,8
Easy,fb,1,SCForcedChoice_orange,8
Hard,fb,1,SCForcedChoice_yellow,8
Easy,fb,1,SCForcedChoice_green,8
Hard,fb,1,SCForcedChoice_blue,8
Neutral,fb,1,SCForcedChoice_purple,8
posttest:Post-Test:;,fb,1,TypeResp,9
0,fb,1,BlockVaryQ,9
0,fb,1,ItemVaryQ,9
77,fb,1,FreqPredict_1,9
